mean_energy_eV,Te_eV,R625,R626,R627,R628,R629,R630,R631,R633,R634,R636,R638,R639,R640,R641,R642,R653_C18,R655,R656,R657,R643,R644,R645,R646,R647,R648,R649,R650,R651,R652,R653,R658,R659,R660,R661,R663,R665,R666,R667,R672,R668,R669,R670,R671,R673
7.315230,4.876820,1.938520E-17,1.085810E-16,1.165580E-13,2.426730E-15,5.780450E-15,5.768710E-15,1.744090E-15,4.727050E-16,1.784730E-13,2.902290E-15,1.551890E-15,1.026870E-15,7.100820E-16,5.951140E-16,5.095040E-16,1.396990E-15,4.200550E-17,7.869620E-17,1.417640E-15,2.852530E-16,1.283760E-16,8.458270E-17,3.496220E-16,1.102000E-15,1.045740E-15,3.290210E-16,3.121020E-16,2.481670E-16,7.536330E-16,3.172390E-16,4.708740E-16,3.064770E-17,4.165950E-17,1.092820E-13,1.592300E-15,7.173240E-16,8.817520E-16,2.088080E-16,1.573520E-17,6.378540E-16,1.529450E-15,7.518090E-15,3.534190E-17,8.703570E-16
7.658850,5.105900,1.981580E-17,1.079280E-16,1.169620E-13,2.447290E-15,5.800900E-15,5.790130E-15,1.941270E-15,5.957040E-16,1.811490E-13,2.782010E-15,1.472330E-15,9.734180E-16,6.746100E-16,5.665810E-16,4.864360E-16,1.549130E-15,4.575950E-17,9.085580E-17,1.723830E-15,2.732330E-16,1.233470E-16,9.119060E-17,3.782200E-16,1.175760E-15,1.137620E-15,3.579520E-16,3.384760E-16,2.685140E-16,8.377420E-16,3.431780E-16,6.005070E-16,4.100270E-17,4.135100E-17,1.127890E-13,1.612820E-15,7.271550E-16,8.961960E-16,2.127150E-16,1.952970E-17,6.492480E-16,1.576700E-15,8.160970E-15,4.146550E-17,1.071770E-15
8.002370,5.334913,2.015320E-17,1.069730E-16,1.175000E-13,2.467860E-15,5.814560E-15,5.804620E-15,2.143530E-15,7.369360E-16,1.837420E-13,2.672290E-15,1.398370E-15,9.238370E-16,6.414100E-16,5.397310E-16,4.645050E-16,1.697990E-15,4.944600E-17,1.033610E-16,2.062460E-15,2.616630E-16,1.184380E-16,9.757710E-17,4.059420E-16,1.245780E-15,1.226580E-15,3.861120E-16,3.638510E-16,2.879570E-16,9.222830E-16,3.681190E-16,7.508190E-16,5.350600E-17,4.092110E-17,1.162070E-13,1.626900E-15,7.340570E-16,9.082830E-16,2.160750E-16,2.381450E-17,6.581980E-16,1.617550E-15,8.799020E-15,4.812780E-17,1.300290E-15
8.346070,5.564047,2.040640E-17,1.057740E-16,1.181420E-13,2.488330E-15,5.822090E-15,5.812880E-15,2.350020E-15,8.970610E-16,1.862580E-13,2.572230E-15,1.329750E-15,8.779430E-16,6.105420E-16,5.145690E-16,4.437790E-16,1.842390E-15,5.304800E-17,1.160820E-16,2.432840E-15,2.506160E-16,1.137110E-16,1.037120E-16,4.326470E-16,1.311930E-15,1.312040E-15,4.133420E-16,3.881020E-16,3.064030E-16,1.006700E-15,3.919610E-16,9.227370E-16,6.833610E-17,4.039300E-17,1.195380E-13,1.635200E-15,7.383280E-16,9.182350E-16,2.189350E-16,2.859570E-17,6.649470E-16,1.652460E-15,9.430500E-15,5.533310E-17,1.556990E-15
8.689950,5.793300,2.058940E-17,1.044130E-16,1.188350E-13,2.508560E-15,5.824680E-15,5.816110E-15,2.559170E-15,1.075360E-15,1.887080E-13,2.480770E-15,1.265890E-15,8.352610E-16,5.816600E-16,4.909220E-16,4.241370E-16,1.981110E-15,5.654520E-17,1.288480E-16,2.831630E-15,2.400680E-16,1.091610E-16,1.095690E-16,4.582030E-16,1.374160E-15,1.393490E-15,4.394820E-16,4.111250E-16,3.237840E-16,1.090260E-15,4.146270E-16,1.115630E-15,8.551690E-17,3.980050E-17,1.227820E-13,1.638790E-15,7.404540E-16,9.264600E-16,2.213840E-16,3.384070E-17,6.698960E-16,1.682230E-15,1.005290E-14,6.304150E-17,1.840860E-15
9.033310,6.022207,2.071020E-17,1.029360E-16,1.195520E-13,2.528410E-15,5.822910E-15,5.814910E-15,2.769690E-15,1.271300E-15,1.910910E-13,2.397500E-15,1.206730E-15,7.957290E-16,5.547670E-16,4.688240E-16,4.056520E-16,2.113260E-15,5.991650E-17,1.415260E-16,3.256090E-15,2.300680E-16,1.048150E-16,1.151230E-16,4.824880E-16,1.432360E-15,1.470460E-15,4.643970E-16,4.328300E-16,3.400390E-16,1.172380E-15,4.360360E-16,1.329040E-15,1.050750E-16,3.916090E-17,1.259340E-13,1.638250E-15,7.407000E-16,9.331420E-16,2.234590E-16,3.952380E-17,6.732500E-16,1.707240E-15,1.066350E-14,7.122470E-17,2.151190E-15
9.376900,6.251267,2.077560E-17,1.013510E-16,1.202930E-13,2.547930E-15,5.817190E-15,5.809690E-15,2.981490E-15,1.485370E-15,1.934120E-13,2.321550E-15,1.151810E-15,7.591640E-16,5.298420E-16,4.482570E-16,3.884100E-16,2.238830E-15,6.316250E-17,1.540690E-16,3.705760E-15,2.206790E-16,1.007070E-16,1.203820E-16,5.055320E-16,1.486760E-15,1.543040E-15,4.881070E-16,4.532640E-16,3.552100E-16,1.252980E-15,4.562440E-16,1.563540E-15,1.271250E-16,3.847930E-17,1.289990E-13,1.634010E-15,7.392680E-16,9.383740E-16,2.251790E-16,4.564880E-17,6.751560E-16,1.727930E-15,1.126350E-14,7.989960E-17,2.488900E-15
9.720500,6.480333,2.079740E-17,9.972070E-17,1.210270E-13,2.567030E-15,5.808510E-15,5.801460E-15,3.193290E-15,1.716120E-15,1.956760E-13,2.251760E-15,1.100600E-15,7.250570E-16,5.064930E-16,4.289300E-16,3.721040E-16,2.357410E-15,6.627180E-17,1.663610E-16,4.176610E-15,2.117560E-16,9.678510E-17,1.253440E-16,5.273100E-16,1.537500E-15,1.611100E-15,5.105680E-16,4.724290E-16,3.693150E-16,1.331610E-15,4.752630E-16,1.817560E-15,1.515630E-16,3.778040E-17,1.319830E-13,1.626990E-15,7.365620E-16,9.424850E-16,2.266150E-16,5.216730E-17,6.759560E-16,1.745060E-15,1.185130E-14,8.901670E-17,2.851920E-15
10.064100,6.709400,2.077810E-17,9.804250E-17,1.217560E-13,2.585730E-15,5.796960E-15,5.790310E-15,3.404800E-15,1.963760E-15,1.978830E-13,2.187820E-15,1.052980E-15,6.933780E-16,4.847400E-16,4.108810E-16,3.568020E-16,2.468950E-15,6.923990E-17,1.783670E-16,4.667880E-15,2.033370E-16,9.306680E-17,1.300070E-16,5.478150E-16,1.584640E-15,1.674640E-15,5.317710E-16,4.903350E-16,3.823670E-16,1.408150E-15,4.931030E-16,2.091320E-15,1.784510E-16,3.706350E-17,1.348830E-13,1.617300E-15,7.326430E-16,9.454790E-16,2.277650E-16,5.907660E-17,6.756810E-16,1.758730E-15,1.242660E-14,9.858470E-17,3.240680E-15
10.407700,6.938467,2.072690E-17,9.635940E-17,1.224530E-13,2.603940E-15,5.783240E-15,5.776950E-15,3.615190E-15,2.226890E-15,2.000440E-13,2.129400E-15,1.008840E-15,6.640510E-16,4.645580E-16,3.940900E-16,3.425650E-16,2.573480E-15,7.206380E-17,1.900230E-16,5.176110E-15,1.954760E-16,8.957940E-17,1.343830E-16,5.670820E-16,1.628420E-15,1.733780E-15,5.517400E-16,5.070370E-16,3.944210E-16,1.482400E-15,5.098200E-16,2.383220E-15,2.076540E-16,3.634490E-17,1.377050E-13,1.605630E-15,7.278160E-16,9.476210E-16,2.286880E-16,6.633280E-17,6.745910E-16,1.769570E-15,1.298920E-14,1.085630E-16,3.653170E-15
